231,然別,然別,20240,然別,20240,,43.125614,140.7372,False
232,仁木,仁木,20390,仁木,20390,,43.154167,140.770918,False
233,余市,余市,20600,余市,20600,,43.186552,140.794554,False
234,蘭島,蘭島,20604,蘭島,20604,,43.196525,140.854798,False
235,塩谷,塩谷,20236,塩谷,20236,,43.202359,140.924459,False
236,小樽,小樽,20098,小樽,20098,,43.197167,140.993565,False
237,南小樽,南小樽,20548,南小樽,20548,,43.186584,141.007925,False
238,小樽築港,小樽築港,20099,小樽築港,20099,,43.18078,141.02859,False
239,朝里,朝里,20017,朝里,20017,,43.176864,141.063977,False
241,銭函,銭函,20297,銭函,20297,,43.143369,141.159775,False
242,手稲,手稲,20334,手稲,20334,,43.120151,141.243908,False
243,琴似,琴似,20195,琴似(函館本線),20195,,43.081351,141.30746,True
244,桑園,桑園,20298,桑園,20298,,43.070769,141.331931,False
245,札幌,札幌,20220,札幌,20220,,43.068686,141.35079,False
246,苗穂,苗穂,20368,苗穂,20368,,43.068464,141.373427,False
247,白石,白石,20264,白石(函館本線),20264,,43.0548,141.414064,True
248,厚別,厚別,20023,厚別,20023,,43.04508,141.463282,False
249,野幌,野幌,20429,野幌,20429,,43.092631,141.529886,False
250,江別,江別,20067,江別,20067,,43.110241,141.556578,False
251,豊幌,豊幌,20366,豊幌,20366,,43.136461,141.624876,False
252,幌向,幌向,20526,幌向,20526,,43.151683,141.655539,False
253,上幌向,上幌向,20139,上幌向,20139,,43.181791,141.715311,False
254,岩見沢,岩見沢,20052,岩見沢,20052,,43.204067,141.759139,False
255,峰延,峰延,20562,峰延,20562,,43.264674,141.814605,False
256,光珠内,光珠内,20190,光珠内,20190,,43.29267,141.844601,False
257,美唄,美唄,20491,美唄,20491,,43.330501,141.862098,False
258,茶志内,茶志内,20314,茶志内,20314,,43.36983,141.873427,False
259,奈井江,奈井江,20367,奈井江,20367,,43.423964,141.889285,False
260,豊沼,豊沼,20364,豊沼,20364,,43.464209,141.901032,False
261,砂川,砂川,20289,砂川,20289,,43.49354,141.909586,False
262,滝川,滝川,20306,滝川,20306,,43.555143,141.900751,False
263,大麻,大麻,20070,大麻,20070,,43.072216,141.496862,False
264,森林公園,森林公園,20283,森林公園(北海道),20283,,43.056578,141.481447,True
265,星置,星置,20516,星置,20516,,43.132149,141.210438,False
266,発寒,発寒,20434,発寒,20434,,43.100237,141.276601,False
267,稲穂,稲穂,20050,稲穂,20050,,43.128261,141.222687,False
268,稲積公園,稲積公園,20049,稲積公園,20049,,43.112458,141.25663,False
269,発寒中央,発寒中央,20435,発寒中央,20435,,43.089406,141.294378,False
270,高砂,高砂,20303,高砂(北海道),20303,,43.100242,141.540746,True
271,ほしみ,ほしみ,29037,ほしみ,29037,,43.13376,141.191412,False
276,新琴似,新琴似,20270,新琴似,20270,,43.113154,141.335207,False
277,あいの里公園,あいの里公園,20123,あいの里公園,20123,,43.160816,141.412976,False
278,篠路,篠路,20243,篠路,20243,,43.145234,141.364231,False
279,太美,太美,20039,太美,20039,,43.189675,141.448805,False
280,当別,当別,20037,当別,20037,,43.222173,141.513798,False
293,拓北,拓北,20467,拓北,20467,,43.155511,141.381173,False
298,北海道医療大学,北海道医療大学,20312,北海道医療大学,20312,,43.231339,141.550378,False
299,あいの里教育大,あいの里教育大,20005,あいの里教育大,20005,,43.155234,141.398533,False
300,百合が原,百合が原,20599,百合が原,20599,,43.131347,141.36076,False
301,新川,新川,20268,新川(北海道),20268,,43.098572,141.32382,True
302,太平,太平,20302,太平,20302,,43.123903,141.348899,False
304,八軒,八軒,20446,八軒,20446,,43.086351,141.319098,False
305,大岸,大岸,20072,大岸,20072,,42.585837,140.638372,False
306,豊浦,豊浦,20357,豊浦,20357,,42.580255,140.715477,False
307,洞爺,洞爺,20345,洞爺,20345,,42.550898,140.763614,False
308,有珠,有珠,20055,有珠,20055,,42.51307,140.793891,False
309,長和,長和,20381,長和,20381,,42.488545,140.833582,False
310,伊達紋別,伊達紋別,20313,伊達紋別,20313,,42.469353,140.856165,False
311,稀府,稀府,20541,稀府,20541,,42.425941,140.898886,False
312,黄金,黄金,20192,黄金(北海道),20192,,42.38664,140.908054,True
313,崎守,崎守,20214,崎守,20214,,42.374114,140.926774,False
314,本輪西,本輪西,20577,本輪西,20577,,42.359062,140.977688,False
315,東室蘭,東室蘭,20475,東室蘭,20475,,42.348841,141.025379,False
316,鷲別,鷲別,20616,鷲別,20616,,42.359479,141.043044,False
317,幌別,幌別,20525,幌別,20525,,42.409392,141.106897,False
318,富浦,富浦,20354,富浦(北海道),20354,,42.441916,141.156558,True
319,登別,登別,20433,登別,20433,,42.451999,141.180722,False
320,虎杖浜,虎杖浜,20194,虎杖浜,20194,,42.464859,141.215247,False
321,竹浦,竹浦,20308,竹浦,20308,,42.492802,141.260242,False
322,萩野,萩野,20438,萩野,20438,,42.521411,141.30607,False
323,白老,白老,20260,白老,20260,,42.554742,141.359953,False
324,社台,社台,20225,社台,20225,,42.579185,141.418002,False
325,錦岡,錦岡,20394,錦岡,20394,,42.602517,141.487384,False
326,糸井,糸井,20045,糸井,20045,,42.622516,141.546323,False
327,苫小牧,苫小牧,20352,苫小牧,20352,,42.639237,141.595845,False
328,沼ノ端,沼ノ端,20425,沼ノ端,20425,,42.671957,141.692975,False
329,遠浅,遠浅,20340,遠浅,20340,,42.729314,141.769105,False
330,早来,早来,20453,早来,20453,,42.765283,141.814127,False
331,安平,安平,20026,安平,20026,,42.814361,141.825235,False
332,追分,追分,20069,追分(北海道),20069,,42.873298,141.810706,True
333,三川,三川,20543,三川(北海道),20543,,42.945068,141.800732,True
334,古山,古山,20505,古山,20505,,42.975315,141.793813,False
335,由仁,由仁,20595,由仁,20595,,43.012394,141.785812,False
336,栗山,栗山,20182,栗山,20182,,43.058194,141.77559,False
337,栗丘,栗丘,20180,栗丘,20180,,43.085803,141.744341,False
338,栗沢,栗沢,20181,栗沢,20181,,43.120548,141.739728,False
339,志文,志文,20244,志文,20244,,43.159045,141.744448,False
340,北舟岡,北舟岡,20167,北舟岡,20167,,42.450327,140.880664,False
341,北吉原,北吉原,20170,北吉原,20170,,42.508856,141.285794,False
342,青葉,青葉,20008,青葉,20008,,42.630626,141.570043,False
343,輪西,輪西,20617,輪西,20617,,42.334037,141.00727,False
344,御崎,御崎,20544,御崎,20544,,42.329204,140.993854,False
345,母恋,母恋,20530,母恋,20530,,42.317232,140.989355,False
346,室蘭,室蘭,20566,室蘭,20566,,42.31801,140.974412,False
347,東滝川,東滝川,20468,東滝川,20468,,43.573949,141.980271,False
348,赤平,赤平,20011,赤平,20011,,43.554925,142.048738,False
349,茂尻,茂尻,20573,茂尻,20573,,43.536954,142.082181,False
350,平岸,平岸,20486,平岸(根室本線),20486,,43.541316,142.125232,True
351,芦別,芦別,20020,芦別,20020,,43.516792,142.184062,False
352,上芦別,上芦別,20124,上芦別,20124,,43.488517,142.211006,False
353,野花南,野花南,20430,野花南,20430,,43.474437,142.261668,False
354,島ノ下（信）,島ノ下（信）,,,,,,,False
